precinct,county,parish_name,rep_votes,dem_votes,total_votes,votes_needed,OBJECTID
216B,22051,Jefferson,212,265,477,66,1450
6-K,22051,Jefferson,330,265,595,82,1498
11-9,22071,Orleans,166,265,431,59,2016
9-44,22071,Orleans,7,265,272,38,2187
1-5,22089,St. Charles,5,265,270,37,2727
73,22073,Ouachita,57,266,323,45,2411
7-1A,22117,Washington,35,266,301,42,3505
1-6,22001,Acadia,16,267,283,39,36
3-4,22001,Acadia,36,267,303,42,42
361,22019,Calcasieu,33,267,300,41,571
17A,22037,East Feliciana,268,267,535,74,14570
12,22055,Lafayette,404,267,671,93,1612
238B,22051,Jefferson,181,268,449,62,15544
54,22005,Ascension,127,269,396,55,129
3-41,22033,East Baton Rouge,790,269,1059,146,872
51,22055,Lafayette,5,269,274,38,1626
15-15,22071,Orleans,26,269,295,41,2289
14-K,22051,Jefferson,285,270,555,77,1453
5,22109,Terrebonne,146,270,416,57,3301
37,22113,Vermilion,43,270,313,43,3397
6-11,22001,Acadia,6,271,277,38,47
2-1,22061,Lincoln,27,271,298,41,1752
15-16,22071,Orleans,65,271,336,46,2256
74,22073,Ouachita,1,271,272,38,2430
23-K,22051,Jefferson,35,272,307,42,1512
15-13A,22071,Orleans,12,272,284,39,2009
9-44D,22071,Orleans,13,272,285,39,2279
7-28A,22071,Orleans,5,273,278,38,2276
8-25,22071,Orleans,15,273,288,40,2332
9-44A,22071,Orleans,10,273,283,39,2263
50,22087,St. Bernard,88,273,361,50,2686
1-45,22033,East Baton Rouge,5,274,279,39,854
15-19A,22071,Orleans,242,275,517,71,2115
4-9,22071,Orleans,190,275,465,64,2215
231,22051,Jefferson,230,276,506,70,1436
9-41B,22071,Orleans,99,276,375,52,2341
4-1,22085,Sabine,68,276,344,47,2645
71,22005,Ascension,467,277,744,103,6884
9,22073,Ouachita,297,277,574,79,2398
22-K,22051,Jefferson,6,278,284,39,1385
32,22017,Caddo,29,279,308,43,374
9-31D,22071,Orleans,2,279,281,39,2202
59,22109,Terrebonne,421,281,702,97,3306
159,22017,Caddo,406,282,688,95,460
7,22047,Iberville,39,283,322,44,1180
9-41,22071,Orleans,52,283,335,46,2226
23,22109,Terrebonne,74,283,357,49,3323
4-3,22045,Iberia,34,285,319,44,1141
15-18B,22071,Orleans,35,285,320,44,2266
9-44I,22071,Orleans,9,285,294,41,2318
3-36,22033,East Baton Rouge,696,286,982,136,815
8,22055,Lafayette,471,286,757,104,1548
11-5,22071,Orleans,63,286,349,48,2348
308,22019,Calcasieu,5,287,292,40,601
2-4,22089,St. Charles,177,287,464,64,2716
1-1,22091,St. Helena,202,287,489,67,2749
111,22017,Caddo,7,288,295,41,9760
1-26,22033,East Baton Rouge,7,288,295,41,914
20,22037,East Feliciana,99,288,387,53,14562
188,22051,Jefferson,12,289,301,42,1416
10-3,22071,Orleans,16,289,305,42,2071
C25,22079,Rapides,167,289,456,63,2515
5-4,22089,St. Charles,258,289,547,75,2741
1-23,22097,St. Landry,202,289,491,68,2866
15-18F,22071,Orleans,117,290,407,56,2337
9-44Q,22071,Orleans,2,290,292,40,2033
6-4,22095,St. John the Baptist,14,290,304,42,2801
6-6,22071,Orleans,9,291,300,41,2018
13,22073,Ouachita,5,291,296,41,2372
1-69,22033,East Baton Rouge,412,292,704,97,930
1-13,22097,St. Landry,74,292,366,51,2867
1-1,22045,Iberia,7,293,300,41,1118
125,22017,Caddo,339,294,633,87,393
7-25,22071,Orleans,5,294,299,41,2244
6-1,22095,St. John the Baptist,160,294,454,63,2798
46,22017,Caddo,19,295,314,43,373
9-40A,22071,Orleans,9,295,304,42,2103
7-K,22051,Jefferson,404,296,700,97,1374
3-4,22057,Lafourche,89,296,385,53,1692
1-3,22057,Lafourche,515,297,812,112,1702
35,22017,Caddo,13,298,311,43,371
11-G,22051,Jefferson,139,298,437,60,1347
1-48,22033,East Baton Rouge,563,299,862,119,814
1-99,22033,East Baton Rouge,593,299,892,123,835
23,22055,Lafayette,3,299,302,42,1608
12-17,22071,Orleans,8,300,308,43,2181
234,22051,Jefferson,320,301,621,86,1451
